전철역명,X좌표(WGS),Y좌표(WGS),PM-10
신촌,37.555134,126.936893,84.9
이대,37.556733,126.946013,83
아현,37.557345,126.95614099999999,84.3
도림천,37.514287,126.882768,84.5
양천구청,37.512398,126.86581899999999,75.7
신정네거리,37.520074,126.85291200000002,80
용두,37.574028000000006,127.038091,87.1
구파발,37.636763,126.918821,90.75
녹번,37.600927,126.93575600000001,89.4
무악재,37.582299,126.95029099999999,91.1
독립문,37.574571,126.957748,89.6
경복궁,37.575762,126.97353000000001,87.60000000000001
안국,37.576477000000004,126.98544299999999,79.6
동대입구,37.559052,127.005602,78.2
금호,37.548034,127.015872,72.6
압구정,37.527072,127.02846100000001,69.5
신사,37.516334,127.02011399999999,80.5
잠원,37.512759,127.01122,65.9
남부터미널,37.485013,127.01618899999998,63.1
매봉,37.486947,127.046769,86.4
대치,37.494612,127.06364199999999,81
학여울,37.496663,127.070594,82.2
대청,37.493514000000005,127.079532,77.7
일원,37.483681,127.08438999999998,90.4
쌍문,37.648627000000005,127.034709,85.05
수유,37.638052,127.025732,77.69999999999999
미아,37.626670000000004,127.02598300000001,83.35
미아사거리,37.613292,127.03005300000001,83.05
길음,37.603407000000004,127.025053,80.95
한성대입구,37.588458,127.006221,76.65
혜화,37.582336,127.00184399999999,88.8
명동,37.560989,126.986325,94.8
회현,37.558514,126.978246,89.4
숙대입구,37.54456,126.97210600000001,92.5
신용산,37.52917,126.967894,83.7
남태령,37.463873,126.989134,91.4
방화,37.577446,126.81274099999999,69.5
개화산,37.572399,126.80617099999999,60.2
송정,37.561184000000004,126.811973,65
마곡,37.560183,126.825448,76.4
발산,37.558597999999996,126.837668,85.3
우장산,37.548768,126.83631799999999,76.3
화곡,37.541513,126.840461,70.3
신정,37.524997,126.856191,68.9
목동,37.526065,126.864931,63.9
오목교,37.524496,126.87518100000001,66.9
양평,37.525648,126.885778,69.2
여의나루,37.527097999999995,126.932901,66.7
마포,37.539574,126.94593200000001,72.7
애오개,37.553736,126.95682,83.1
서대문,37.565773,126.966641,76.9
광화문,37.571026,126.976669,80.4
신금호,37.554548,127.020331,65
행당,37.557322,127.029476,75.1
마장,37.5661,127.042973,66
답십리,37.566747,127.052704,68.4
장한평,37.561440000000005,127.064623,85.5
아차산,37.551691,127.08976100000001,61.8
광나루,37.545303000000004,127.10356999999999,71.4
강동,37.535804,127.132481,89.5
길동,37.537801,127.140004,67.6
굽은다리,37.545477000000005,127.142853,77.4
명일,37.55137,127.143999,70.6
고덕,37.555004,127.154151,78.9
둔촌동,37.527788,127.136248,88.4
올림픽공원,37.516078,127.130848,82.1
방이,37.508857,127.12613300000001,57.9
개롱,37.498079,127.13481999999999,83.6
거여,37.493105,127.14415,80.4
마천,37.49499,127.152781,60.5
응암,37.598605,126.915577,63.4
역촌,37.606021000000005,126.922744,61.9
독바위,37.618456,126.933031,64
구산,37.611377000000005,126.91727,67
새절,37.591148,126.913629,70.3
증산,37.583876000000004,126.909645,57.9
월드컵경기장,37.569532,126.899298,66.5
마포구청,37.563515,126.90334299999999,78.7
망원,37.556094,126.91005200000001,75.2
상수,37.547715999999994,126.922852,78.8
광흥창,37.547456,126.93199299999999,93
대흥,37.547771000000004,126.94206899999999,89.8
녹사평,37.534675,126.986695,69.4
이태원,37.534488,126.994302,78.9
한강진,37.539631,127.001725,84.8
버티고개,37.548013,127.00705500000001,66.8
창신,37.579661,127.01524099999999,91.2
안암,37.586271999999994,127.029005,81.7
고려대,37.590508,127.036296,59.6
월곡,37.601948,127.041518,71.4
상월곡,37.606377,127.048491,78
돌곶이,37.610537,127.056431,86.5
화랑대,37.620064,127.08468899999998,76.3
봉화산,37.617283,127.091401,71.8
수락산,37.67785,127.055315,84.6
마들,37.66494,127.057675,81.9
중계,37.644583000000004,127.06430300000001,78.2
하계,37.636352,127.06799,77.1
먹골,37.610637,127.077725,81.7
중화,37.602545,127.079264,76.3
면목,37.588578999999996,127.087503,90.1
사가정,37.580894,127.08847800000001,93.2
용마산,37.573646999999994,127.086727,79.8
중곡,37.565923,127.08431999999999,86
어린이대공원,37.548014,127.07465800000001,77.1
청담,37.519365,127.05335,79.2
학동,37.514229,127.03165600000001,80.5
논현,37.511093,127.02141499999999,81.3
반포,37.508178,127.01172700000001,84
내방,37.487618,126.993513,90
남성,37.484596,126.971251,78
숭실대입구,37.496029,126.953822,82.1
장승배기,37.504898,126.93915,76.6
신대방삼거리,37.499701,126.928276,80.7
보라매,37.499871999999996,126.920428,85.7
신풍,37.50008,126.90993,80.8
남구로,37.486056,126.887249,90.4
철산,37.47605,126.867911,84.6
광명사거리,37.479252,126.854876,87.7
천왕,37.486637,126.83871299999998,81.4
까치울,37.506207,126.81093899999999,80.6
부천종합운동장,37.50538,126.79733700000001,77
춘의,37.503663,126.78703600000001,74.2
신중동,37.503048,126.77596000000001,78.4
부천시청,37.504630999999996,126.76353799999998,80.8
상동,37.505781,126.753083,84.5
삼산체육관,37.506411,126.742153,77.9
굴포천,37.506997,126.73128,86
암사,37.55021,127.12756200000001,83.9
강동구청,37.530341,127.120508,84.7
몽촌토성,37.517409,127.11235900000001,79.1
석촌,37.505431,127.10697900000001,80.6
송파,37.499703000000004,127.112183,91.6
문정,37.485855,127.1225,86.9
장지,37.478703,127.12619099999999,82.6
산성,37.457122,127.14990800000001,88
남한산성입구,37.451535,127.15981599999999,79.5
단대오거리,37.445209999999996,127.156866,76.4
신흥,37.440917999999996,127.14756399999999,75.7
수진,37.437428000000004,127.140722,80.1
언주,37.507287,127.033868,100.3
삼성중앙,37.513011,127.05328200000001,79.9
봉은사,37.514219,127.060245,82.4
